post_title,street,region,country,latitude,longitude,zip,city,post_status,post_author,post_type,post_category,default_category,post_content,price
"Aaa's Elderly Care","3960 Woburn Court",Palmdale,"united states",34.6109714,-118.2029066,93551,"3960 Woburn Court",publish,1,gd_place,77,2,"Welcome to Aaa's Elderly Care, an intimate board and care home in Palmdale, CA. Aaa's Elderly Care is located at 3960 Woburn Court, and offers assisted living to older adults.",4257
"Anaverdes Villa","37335 Paintbrush Drive",Palmdale,"united states",34.5616284,-118.176068,93551,"37335 Paintbrush Drive",publish,1,gd_place,77,2,,4821
"Humble Haven RCFE III","38433 Anset Drive",Palmdale,"united states",34.5805953,-118.1467918,93551,"38433 Anset Drive",publish,1,gd_place,77,2,"Welcome to Humble Haven RCFE III, an intimate board and care home in Palmdale, CA. Humble Haven RCFE III is located at 38433 Anset Drive, and offers assisted living to older adults.",4520
"H&M Care Home","744 Vandal Way",Palmdale,"united states",34.5809724,-118.144317,93551,"744 Vandal Way",publish,1,gd_place,77,2,"H&M Care Home, situated in the lovely city of Palmdale, California, is a small and intimate community that offers top-notch assisted living and board and care home services. This exceptional facility is dedicated to providing residents with the utmost care, ensuring their comfort and well-being at all times.",4330
"A Touch Of Paradise","38917 Kensington Way",Palmdale,"united states",34.5918111,-118.1585225,93551,"38917 Kensington Way",publish,1,gd_place,77,2,"A Touch of Paradise is a welcoming and intimate assisted living and board and care home community located in the charming city of Palmdale, California. Boasting a small community size, this property ensures personalized care and attention to all residents, fostering a nurturing and supportive environment where seniors can thrive.",3863
"A Touch Of Paradise At Kensington","38954 Kensington Way",Palmdale,"united states",34.5928689,-118.1589187,93551,"38954 Kensington Way",publish,1,gd_place,77,2,"A Touch of Paradise at Kensington is a charming assisted living and board and care home located in the beautiful city of Palmdale, California. This small and welcoming community offers a wide range of care and medical services tailored to meet the specific needs of its residents. With an average pricing of $4,796, it is an affordable option compared to similar properties in the city, which have an......Read more",4796
"Ivan Banner Boarding Care","39409 Daylily Place",Palmdale,"united states",34.5982032,-118.1737419,93551,"39409 Daylily Place",publish,1,gd_place,77,2,"Ivan Banner Boarding Care, located in the charming city of Palmdale, California, is a small, intimate assisted living and board-and-care home. The community focuses on providing a warm, family-like atmosphere where residents receive personalized attention and care tailored to their individual needs. With an average pricing of $4,355 per month, Ivan Banner Boarding Care offers a more affordable opt......Read more",3863
"Excellent Home Care II","37208 27Th Street East",Palmdale,"united states",34.5585334,-118.0806726,93550,"37208 27Th Street East",publish,1,gd_place,77,2,"Excellent Home Care II is a small, welcoming assisted living and board and care home located in the beautiful city of Palmdale, California. This facility is dedicated to providing top-notch care and medical services to its residents, ensuring a comfortable and supportive environment for them to thrive in.",3863
"Capland Senior Living","39927 Capland Drive",Palmdale,"united states",34.6066881,-118.1945898,93551,"39927 Capland Drive",publish,1,gd_place,77,2,"Welcome to Capland Senior Living, an intimate board and care home in Palmdale, CA. Capland Senior Living is located at 39927 Capland Drive, and offers assisted living to older adults.",3863
"Humble Haven RCFE","37801 Rudall Avenue",Palmdale,"united states",34.5696254,-118.0822461,93550,"37801 Rudall Avenue",publish,1,gd_place,77,2,"Humble Haven RCFE is a modern assisted living facility for the elderly located in Santa Clarita, CA accommodating up to 6 beds. We provide individualized care, supervision and assistance with activities of daily living for adults 60 and above. In addition, we welcome individuals who require special care needs such as dementia, Alzheimer's and hospice. We have trained staff to cater to them every s......Read more",3000
"Humble Haven Rcfe II","37801 Rudall Avenue.",Palmdale,"united states",34.5696254,-118.0822461,93550,"37801 Rudall Avenue.",publish,1,gd_place,77,2,"Welcome to Humble Haven Rcfe II, an intimate board and care home in Palmdale, CA. Humble Haven Rcfe II is located at 37801 Rudall Avenue., and offers assisted living to older adults.",4494
"High Desert Manor II","39949 West Cliff Street",Palmdale,"united states",34.6082033,-118.1946583,93551,"39949 West Cliff Street",publish,1,gd_place,77,2,"High Desert Manor II is a small, intimate assisted living and board and care home located in the charming city of Palmdale, California. This welcoming community offers a wide range of care and medical services tailored to meet the individual needs of each resident while promoting their overall well-being and independence.",3863
"Rancho Vista Manor","3336 Caspian Drive",Palmdale,"united states",34.6082661,-118.1895629,93551,"3336 Caspian Drive",publish,1,gd_place,77,2,"Rancho Vista Manor is a charming and intimate assisted living and board and care home located in the heart of Palmdale, California. This small community offers its residents a warm and welcoming environment, where they can experience a high level of care and support tailored to their individual needs. The attentive staff at Rancho Vista Manor are dedicated to providing a comfortable and nurturing ......Read more",3863
"Regency Palms Palmdale","38722 Orchid View Place",Palmdale,"united states",34.585864,-118.105508,93550,"38722 Orchid View Place",publish,1,gd_place,77,2,"Welcome to Regency Palms Palmdale, a medium-sized assisted living community in Palmdale, CA. Located at 38722 Orchid View Place, Regency Palms Palmdale offers assisted living services for older adults.",3246
"Durando Home Inc.Iii","36235 43Rd Street East",Palmdale,"united states",34.5401302,-118.05143,93552,"36235 43Rd Street East",publish,1,gd_place,77,2,"Durando Home Inc.Iii is a charming and intimate assisted living and board and care home nestled in the heart of Palmdale, California. This small community offers personalized care and attention to its residents, ensuring their needs are met and their lives are enriched.",3863
"Annabelle's Cottage","3732 Vitrina Lane",Palmdale,"united states",34.6127004,-118.1963263,93551,"3732 Vitrina Lane",publish,1,gd_place,77,2,"Nestled in the charming city of Palmdale, California, Annabelle's Cottage is a small, intimate assisted living and board and care home that offers a comprehensive range of care and medical services. With a strong focus on providing a comfortable and nurturing environment, Annabelle's Cottage ensures that residents receive personalized attention and support catered to their individual needs.",3863
